District,Postal Code,Asukkaita/km2,Asukkaat yht,0-6-vuotiaat %,7-15-vuotiaat %,16-18-vuotiaat %,19-24-vuotiaat %,25-39-vuotiaat %,40-64-vuotiaat %,Yli 65-vuotiaat %,Tulot/asukas,Asuntokuntien mediaanitulot,Asuntoja yhteensä,Liikerakennukset,Julkiset rakennukset,Teollisuus- ja varastorakennukset,Päiväkoteja,Lukio koulut,Erikois- ja erityiskoulut,Kirjasto,Terveysasema,Leikkipuisto,Uimahalli,Liikuntasalit ja -hallit,Pallokentät,Kirkko,Päivittäistavarakaupat,Ravintolat ,Kahvilat ja baarit,Työttömyysaste
  Vironniemen peruspiiri    ,101,6224.509803921568,12698,5.91,6.98,2.17,6.898724208536777,25.783587966608916,32.48,19.78,54147.0189684762,57438,8297,1333.357,371.382,25.844,11,1,0,1,0,1,0,11,9,6,47,188,35,5.283922784275045
  Ullanlinnan peruspiiri    ,102,4100,24477,5.76,6.56,1.66,8.0524574089962,30.935163622993013,30.66,16.37,59570.74132681306,50969,17246,620.514,144.853,256.16,13,2,2,2,1,2,0,11,14,6,43,175,23,5.8554249795025965
  Kampinmalmin peruspiiri   ,103,9564.018691588784,40934,6.2,5.93,1.71,9.67166658523477,34.142766404455955,27.8,14.55,48388.314801629116,48719,26216,1637.524,389.748,188.962,19,5,4,1,0,1,1,26,12,8,69,278,33,6.168736759024633
  Taka-Töölön peruspiiri    ,104,7973.333333333334,15548,5.28,4.98,1.45,9.223051196295344,34.268073064059685,26.72,18.07,43117.9168627451,45190,10688,150.956,282.715,11.371,8,2,1,1,1,1,0,15,7,1,17,55,15,5.913635396724101
  Lauttasaaren peruspiiri   ,105,6334.895833333334,24326,7.89,7.71,1.72,5.28241387815506,30.091260379840502,28.7,18.61,48602.3390306493,54259,14428,153.117,49.77,144.028,11,1,0,1,1,1,1,7,9,1,15,30,7,5.055120394545982
  Reijolan peruspiiri       ,201,3894.4320712694876,17486,6.38,8.04,2.24,8.738419306874071,28.680086926684208,29.34,16.57,35181.56151335509,40298,10683,152.128,555.027,34.495,12,2,3,1,1,2,1,22,10,4,15,24,13,7.591729170889925
  Munkkiniemen peruspiiri   ,202,3859.784946236559,17948,6.37,8.62,2.64,6.892132828170269,23.11678181412971,30.61,21.76,51941.50948895654,46755,10908,135.521,102.134,0.325,7,2,1,1,1,2,0,10,19,2,16,21,5,5.955574632471295
  Haagan peruspiiri         ,203,5218.233082706766,27761,6.18,5.84,1.75,9.045063218183783,33.085983934296316,25.62,18.48,31078.223738896584,35837,17543,225.066,152.164,12.577,12,3,2,2,1,3,1,13,21,1,16,23,7,8.19331819656179
  Pitäjänmäen peruspiiri    ,204,2762.7245508982037,18455,7.38,8.01,2.57,7.91113519371444,26.8978596586291,31.02,16.21,31467.502106149957,39856,10511,443.133,110.345,786.318,7,0,0,1,1,3,0,7,11,1,14,30,3,10.198070086338243
  Kaarelan peruspiiri ,205,3065.814696485623,28788,7.47,8.56,2.89,8.673752952619147,25.611365846880645,30.67,16.12,28729.895286433417,37812,15619,110.511,114.156,86.785,13,2,1,2,2,4,0,11,20,2,14,27,3,10.3513899272752
  Kallion peruspiiri        ,301,11293.916349809886,29703,3.96,2.54,0.86,9.685890314109685,43.423223243443424,25.65,13.89,33390.223770640536,36161,21704,612.573,197.192,244.569,13,2,0,1,1,2,0,13,9,3,48,111,19,8.446908055329535
  Alppiharjun peruspiiri    ,302,13234.065934065933,12043,3.02,1.38,0.58,11.027152702814913,46.95673835423067,24.41,12.62,29262.60910571894,31307,9628,24.74,99.889,39.933,3,1,0,0,0,1,1,12,4,1,10,51,11,8.779569259738732
  Vallilan peruspiiri       ,303,6313.584905660377,16731,6.66,4.71,1.16,9.6766481381866,39.29233160002391,26.94,11.55,31774.26074595546,37294,10563,324.393,146.92,563.594,5,1,0,1,0,1,1,10,7,2,13,48,4,7.6123595505617985
  Pasilan peruspiiri        ,304,2277.014218009479,9609,6.25,5.25,2,9.418253720470391,32.41752523675721,25.41,19.25,28550.987766850565,38801,5522,725.311,238.194,39.031,8,0,0,1,0,2,0,3,11,1,11,26,3,9.795081967213115
  Vanhankaupungin peruspiiri,305,4721.335807050093,25448,8.01,8.49,2.19,8.550770198050927,28.76846903489469,28.57,15.42,32587.759630780823,39772,14086,129.249,282.83,199.637,18,1,0,2,0,3,0,17,18,2,17,29,7,7.392651615759186
  Maunulan peruspiiri       ,401,2274.55919395466,9030,7.1,8.43,2.12,5.780730897009967,22.44739756367663,31.92,22.21,29722.750516528926,32669,5548,59.315,70.217,59.522,4,1,0,1,1,1,1,8,9,1,4,8,1,11.46654651948637
  Länsi-Pakilan peruspiiri  ,402,2998.7124463519312,6987,7.74,12.12,4.14,4.966366108487191,13.553742664949192,35.71,21.77,49320.385328981276,82960,3128,18.047,30.778,0.836,2,0,0,0,0,0,0,4,2,1,3,5,0,4.304245283018868
  Tuomarinkylän peruspiiri  ,403,962.0421753607103,8668,9.11,13.82,4.12,4.464697738809414,14.420858329487771,36.31,17.75,47027.93185141854,82632,3525,6.34,29.932,1.691,7,0,0,1,1,2,0,4,10,0,5,3,0,4.496487119437939
  Oulunkylän peruspiiri     ,404,3285.5203619909503,14522,7.8,9.59,2.58,6.16306293898912,24.39746591378598,30.37,19.1,35017.403207608,43626,7935,121.174,78.075,38.095,9,1,0,1,1,1,0,8,8,2,6,14,0,7.703604806408544
  Itä-Pakilan peruspiiri    ,405,1057.9250720461096,3671,8.2,13.38,4.9,4.358485426314355,14.76436938163988,37.05,17.35,43479.16181448883,77701,1594,7.053,20.88,26.39,2,0,2,0,0,1,0,4,6,0,3,5,0,5.837424986361157
  Latokartanon peruspiiri   ,501,2600.20725388601,25092,9.13,9.93,2.45,8.086242627132153,27.387215048621073,28.91,14.1,28639.377753895755,37629,13609,66.684,238.769,108.821,18,2,0,1,1,3,0,13,11,2,12,22,3,9.556574923547402
  Pukinmäen peruspiiri      ,502,4265.174129353234,8573,8.33,7.06,2.48,7.756911232940627,25.8369298961857,28.11,20.42,27007.315181058497,35229,4921,29.621,21.339,15.797,5,0,1,1,0,1,0,2,11,0,6,5,0,11.357003891050583
  Malmin peruspiiri         ,503,2650.683682771194,29078,7.8,9.73,3.18,6.87461310956737,21.42513240250361,33.52,17.46,31302.414838337183,41255,15406,192.085,160.507,277.808,18,0,1,2,1,5,1,27,28,3,27,48,3,9.798040391921615
  Suutarilan peruspiiri     ,504,2714.38679245283,11509,8.27,10.85,3.59,6.994526023112346,19.966982361630027,32.06,18.26,31140.507502679528,47850,5399,21.259,34.397,137.189,6,0,0,1,1,3,1,4,16,0,6,2,0,7.858546168958743
  Puistolan peruspiiri      ,505,2685.638998682477,20384,8.83,11.63,3.51,6.142072213500785,20.746664050235477,33.69,15.45,34366.284808583274,50655,9601,50.261,56.993,180.636,9,1,0,2,1,2,0,8,20,1,7,14,1,8.76539673446004
  Jakomäen peruspiiri       ,506,2942.051282051282,5737,8.59,9.15,3.05,9.430015687641625,23.00854104932892,29.41,17.36,21355.58943781942,28457,3092,8.756,21.393,4.78,3,0,0,1,1,1,1,5,7,1,5,8,0,16.86478454680535
  Kulosaaren peruspiiri     ,601,1635.5102040816325,4007,7.06,10.56,2.85,6.763164462191165,22.261043174444723,31.1,19.42,57082.99063726971,54465,2180,28.342,28.39,1.455,2,2,0,0,0,0,0,3,6,2,1,6,1,7.005426739023187
  Herttoniemen peruspiiri   ,602,4125,28875,7.7,8.28,2.45,6.147186147186147,26.337662337662337,32.45,16.63,33683.97972304649,37613,16729,160.378,123.866,375.007,12,1,1,2,0,4,0,16,21,4,18,46,4,10.915651781686964
  Laajasalon peruspiiri     ,603,1265.3992395437263,19968,8.18,10.05,3.1,6.390224358974359,20.087139423076923,32.63,19.56,39023.301013210206,45884,10576,36.306,65.777,18.083,9,0,0,1,1,4,0,6,17,1,7,7,4,8.689610944848225
  Vartiokylän peruspiiri    ,701,3121.7821782178216,22071,7.04,9.26,3.23,6.7418784830773415,20.239227946173713,33.47,20.02,31423.580535152152,37045,12089,291.919,105.307,178.825,13,0,0,1,0,2,0,10,10,3,28,68,8,12.487411883182276
  Myllypuron peruspiiri     ,702,3570.1704545454545,12567,9.11,9.25,3.3,6.190817219702395,21.047187077265857,32.25,18.84,28421.022551928785,37945,6432,12.604,151.115,12.575,8,1,0,1,1,1,1,10,13,2,9,7,1,10.945529290853031
  Mellunkylän peruspiiri    ,703,3982.772680937818,39071,7.95,9.58,3.57,7.151083924138107,21.112845844744182,32.08,18.56,24112.820837689895,32473,20652,42.293,129.287,73.757,23,1,1,1,2,6,1,15,23,1,32,46,8,15.11290939909235
  Vuosaaren peruspiiri      ,704,2281.1475409836066,38962,7.83,10.1,3.1,6.57050459422001,20.4686617730096,33.41,18.52,28792.089737589315,36911,20889,89.361,140.55,248.601,25,1,0,1,1,4,1,20,17,5,23,47,5,13.079048023799405
Östersundomin peruspiiri,801,74.31192660550458,1944,5.61,14.35,6.84,7.304526748971194,9.722222222222223,44.8,11.37,60365.666871165646,98038,733,4.129,13.086,5.084,2,0,0,1,0,0,0,3,6,1,4,1,1,5.72232645403377
